overallIndex,name,browseNodeID,Level,Category Path,Book1Rank,Book100Rank,nLast30Days,top100URL,last30URL,preordersURL,parentName,parentBrowseNodeID,topLevelCategoryName,fullName,alsoKnownAs
8226,Language Arts,7006541011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > Language Arts,21085,1998444,16,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Language-Arts-eBooks/zgbs/digital-text/7006541011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006541011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006541011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult Language Arts eBooks,
8227,Law & Crime,15248941011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > Law & Crime,43418,3346596,3,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Law-Crime-Nonfiction-eBooks/zgbs/digital-text/15248941011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15248941011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15248941011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult Law & Crime Nonfiction eBooks,
8228,Math,7006548011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > Math,26459,2498432,11,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Math-eBooks/zgbs/digital-text/7006548011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006548011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006548011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult Math eBooks,
8229,Philosophy,15248942011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > Philosophy,205545,3474114,6,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Philosophy-eBooks/zgbs/digital-text/15248942011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15248942011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15248942011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult Philosophy eBooks,
8230,Reference,7006555011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > Reference,12059,1077331,18,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Reference-eBooks/zgbs/digital-text/7006555011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006555011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006555011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult Reference eBooks,
8231,School & Education,7006562011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > School & Education,74868,1808738,47,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-School-Education-eBooks/zgbs/digital-text/7006562011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006562011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006562011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult School & Education eBooks,
8232,Science & Technology,7006563011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology,6720,502260,294,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Science-Technology-eBooks/zgbs/digital-text/7006563011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006563011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006563011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult Science & Technology eBooks,
8248,Computers,7006564011,4,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Computers,34565,1041276,73,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Computer-eBooks/zgbs/digital-text/7006564011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006564011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006564011,p_n_date:1249102011",Science & Technology,7006563011,Teen & Young Adult,Teen & Young Adult Computer eBooks,Kindle eBooks > Teen & Young Adult > Hobbies & Games > Computers
8249,Science & Nature,7006571011,4,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature,6720,711561,218,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Science-Nature-eBooks/zgbs/digital-text/7006571011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006571011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006571011,p_n_date:1249102011",Science & Technology,7006563011,Teen & Young Adult,Teen & Young Adult Science & Nature eBooks,
8251,Animals,15248943011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Animals,29587,2438752,180,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Animals-Nonfiction-eBooks/zgbs/digital-text/15248943011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15248943011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15248943011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Animals Nonfiction eBooks,
8252,Astronomy,7006575011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Astronomy,86254,3626661,1,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Astronomy-eBooks/zgbs/digital-text/7006575011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006575011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006575011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Astronomy eBooks,
8253,Biology,7006576011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Biology,105253,2547396,3,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Biology-eBooks/zgbs/digital-text/7006576011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006576011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006576011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Biology eBooks,
8254,Chemistry,7006578011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Chemistry,119931,3996318,5,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Chemistry-eBooks/zgbs/digital-text/7006578011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006578011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006578011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Chemistry eBooks,
8255,Earth Sciences,7006581011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Earth Sciences,205484,2775221,3,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Earth-Sciences-eBooks/zgbs/digital-text/7006581011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006581011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006581011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Earth Sciences eBooks,
8256,Environmental Conservation & Protection,7006583011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Environmental Conservation & Protection,6720,3129531,3,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Environmental-Conservation-Protection-eBooks/zgbs/digital-text/7006583011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006583011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006583011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Environmental Conservation & Protection eBooks,
